id,user_id,tenant_id,current_rank,previous_rank,rank_progress_percentage,modules_required_for_next,modules_completed_for_rank,xp_required_for_next,xp_earned_for_rank,ml_coins_bonus,certificate_url,badge_url,achieved_at,previous_rank_achieved_at,is_current,rank_metadata,created_at,updated_at
33b12003-65b0-4f50-8bda-6eeebedc3413,aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,Halach Uinic,Ah K'in,0,,0,,0,500,,,2025-11-29 13:26:52.158657+00,2025-11-29 13:26:52.158657+00,t,{},2025-11-29 13:26:50.458823+00,2025-11-29 13:26:52.138221+00
aef81f6b-b9c4-4f80-b27f-8f9bf8c2cd97,bbbbbbbb-bbbb-bbbb-bbbb-bbbbbbbbbbbb,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,Ajaw,,0,,0,,0,0,,,2025-11-29 13:26:50.458823+00,,t,{},2025-11-29 13:26:50.458823+00,2025-11-29 13:26:50.458823+00
cb04ef70-2738-4c9e-b32a-a92643b8a3f9,cccccccc-cccc-cccc-cccc-cccccccccccc,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,Halach Uinic,Ah K'in,0,,0,,0,500,,,2025-11-30 20:12:46.263821+00,2025-11-29 13:26:52.146305+00,t,{},2025-11-29 13:26:50.458823+00,2025-11-30 20:12:46.263821+00
eb382620-70b8-4842-b8cf-ad51eb1c7266,2f5a9846-3393-40b2-9e87-0f29238c383f,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,Ajaw,,0,,0,,0,0,,,2025-11-29 13:26:50.539509+00,,t,{},2025-11-29 13:26:50.539509+00,2025-11-29 13:26:50.539509+00
207ff6ef-a56d-4fc1-942f-5a50e0c842da,5e738038-1743-4aa9-b222-30171300ea9d,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,Ajaw,,0,,0,,0,0,,,2025-11-29 13:26:50.539509+00,,t,{},2025-11-29 13:26:50.539509+00,2025-11-29 13:26:50.539509+00
64946395-a46c-4e93-abf7-5b827e4dcf12,33306a65-a3b1-41d5-a49d-47989957b822,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,Ajaw,,0,,0,,0,0,,,2025-11-29 13:26:50.539509+00,,t,{},2025-11-29 13:26:50.539509+00,2025-11-29 13:26:50.539509+00
66cb0dd1-2c47-4572-99ec-c97ccee95e53,7a6a973e-83f7-4374-a9fc-54258138115f,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,Ajaw,,0,,0,,0,0,,,2025-11-29 13:26:50.539509+00,,t,{},2025-11-29 13:26:50.539509+00,2025-11-29 13:26:50.539509+00
8c1d72aa-fead-4bff-bf47-b34ceab62a40,06a24962-e83d-4e94-aad7-ff69f20a9119,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,Ajaw,,0,,0,,0,0,,,2025-11-29 13:26:50.539509+00,,t,{},2025-11-29 13:26:50.539509+00,2025-11-29 13:26:50.539509+00
b14b22be-bd9d-485c-9477-b4122c63cbfb,9951ad75-e9cb-47b3-b478-6bb860ee2530,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,Ajaw,,0,,0,,0,0,,,2025-11-29 13:26:50.539509+00,,t,{},2025-11-29 13:26:50.539509+00,2025-11-29 13:26:50.539509+00
4e7cf7a1-8ef4-4d20-902b-ba1c57faad51,735235f5-260a-4c9b-913c-14a1efd083ea,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,Ajaw,,0,,0,,0,0,,,2025-11-29 13:26:50.539509+00,,t,{},2025-11-29 13:26:50.539509+00,2025-11-29 13:26:50.539509+00
d0500d4e-17ec-46be-94a1-4e2500e4b9a8,ebe48628-5e44-4562-97b7-b4950b216247,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,Ajaw,,0,,0,,0,0,,,2025-11-29 13:26:50.539509+00,,t,{},2025-11-29 13:26:50.539509+00,2025-11-29 13:26:50.539509+00
9a4e06cc-0a50-4ff9-b781-d29edff7bbd6,00c742d9-e5f7-4666-9597-5a8ca54d5478,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,Nacom,Ajaw,0,,0,,0,100,,,2025-11-29 13:26:52.138221+00,2025-11-29 13:26:50.539509+00,t,{},2025-11-29 13:26:50.539509+00,2025-11-29 13:26:52.138221+00
4cadc6a3-c15e-410a-88f5-c0254463ca8a,b017b792-b327-40dd-aefb-a80312776952,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,Ajaw,,0,,0,,0,0,,,2025-11-29 13:26:50.539509+00,,t,{},2025-11-29 13:26:50.539509+00,2025-11-29 13:26:50.539509+00
241b6cea-03d0-4f9c-97b6-7d49d9175cfb,ccd7135c-0fea-4488-9094-9da52df1c98c,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,Ajaw,,0,,0,,0,0,,,2025-11-29 13:26:50.539509+00,,t,{},2025-11-29 13:26:50.539509+00,2025-11-29 13:26:50.539509+00
