id,user_id,tenant_id,level,total_xp,xp_to_next_level,current_rank,rank_progress,ml_coins,ml_coins_earned_total,ml_coins_spent_total,ml_coins_earned_today,last_ml_coins_reset,current_streak,max_streak,streak_started_at,days_active_total,exercises_completed,modules_completed,total_score,average_score,perfect_scores,achievements_earned,certificates_earned,total_time_spent,weekly_time_spent,sessions_count,weekly_xp,monthly_xp,weekly_exercises,global_rank_position,class_rank_position,school_rank_position,last_activity_at,last_login_at,metadata,created_at,updated_at
7446ef44-11a1-451d-9624-abd95f0eb2ec,aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,6,2525,100,Halach Uinic,0.00,1960,100,0,0,,0,0,,0,0,0,0,,0,0,0,00:00:00,00:00:00,0,0,0,0,,,,,,{},2025-11-29 13:26:50.458823+00,2025-11-29 13:26:52.120683+00
06fd9e66-cefc-4c64-a446-37cef9668b36,bbbbbbbb-bbbb-bbbb-bbbb-bbbbbbbbbbbb,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,2,375,100,Ajaw,0.00,260,100,0,0,,0,0,,0,0,0,0,,0,0,0,00:00:00,00:00:00,0,0,0,0,,,,,,{},2025-11-29 13:26:50.458823+00,2025-11-29 13:26:52.120683+00
b3830215-9623-46a6-9624-2c7183f13737,cccccccc-cccc-cccc-cccc-cccccccccccc,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,5,1825,100,Halach Uinic,0.00,1625,180,0,0,,0,0,,0,8,0,0,,0,0,0,00:00:00,00:00:00,0,0,0,0,,,,2025-12-02 10:55:24.674923+00,,{},2025-11-29 13:26:50.458823+00,2025-12-02 10:55:24.674923+00
1f6076c1-7b54-43f7-9fca-519407e65c4f,2f5a9846-3393-40b2-9e87-0f29238c383f,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,2,150,100,Ajaw,0.00,140,100,0,0,,0,0,,0,0,0,0,,0,0,0,00:00:00,00:00:00,0,0,0,0,,,,,,{},2025-11-29 13:26:50.539509+00,2025-11-29 13:26:52.120683+00
524efcd5-9c89-4a79-ac4c-f58f92f9fd28,7a6a973e-83f7-4374-a9fc-54258138115f,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,1,25,100,Ajaw,0.00,110,100,0,0,,0,0,,0,0,0,0,,0,0,0,00:00:00,00:00:00,0,0,0,0,,,,,,{},2025-11-29 13:26:50.539509+00,2025-11-29 13:26:52.120683+00
88b149bb-5f3b-41bb-885f-e226eb9cac22,b017b792-b327-40dd-aefb-a80312776952,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,1,0,100,Ajaw,0.00,100,100,0,0,,0,0,,0,0,0,0,,0,0,0,00:00:00,00:00:00,0,0,0,0,,,,,,{},2025-11-29 13:26:50.539509+00,2025-11-29 13:26:50.539509+00
fe110986-762c-459f-acde-b2c865c237bb,33306a65-a3b1-41d5-a49d-47989957b822,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,1,75,100,Ajaw,0.00,120,100,0,0,,0,0,,0,0,0,0,,0,0,0,00:00:00,00:00:00,0,0,0,0,,,,,,{},2025-11-29 13:26:50.539509+00,2025-11-29 13:26:52.120683+00
f0734a0b-1d9c-4999-bcba-8e3b8f229c80,9951ad75-e9cb-47b3-b478-6bb860ee2530,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,2,375,100,Ajaw,0.00,260,100,0,0,,0,0,,0,0,0,0,,0,0,0,00:00:00,00:00:00,0,0,0,0,,,,,,{},2025-11-29 13:26:50.539509+00,2025-11-29 13:26:52.120683+00
0145f432-c383-45d1-9d0f-0c7783a48612,735235f5-260a-4c9b-913c-14a1efd083ea,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,1,75,100,Ajaw,0.00,135,100,0,0,,0,0,,0,0,0,0,,0,0,0,00:00:00,00:00:00,0,0,0,0,,,,,,{},2025-11-29 13:26:50.539509+00,2025-11-29 13:26:52.120683+00
c29ffaef-0392-4fe1-ac41-b502a4052111,5e738038-1743-4aa9-b222-30171300ea9d,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,1,25,100,Ajaw,0.00,110,100,0,0,,0,0,,0,0,0,0,,0,0,0,00:00:00,00:00:00,0,0,0,0,,,,,,{},2025-11-29 13:26:50.539509+00,2025-11-29 13:26:52.120683+00
1cb60bdb-800a-4ebc-a9c3-16ecf78d3535,06a24962-e83d-4e94-aad7-ff69f20a9119,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,1,0,100,Ajaw,0.00,100,100,0,0,,0,0,,0,0,0,0,,0,0,0,00:00:00,00:00:00,0,0,0,0,,,,,,{},2025-11-29 13:26:50.539509+00,2025-11-29 13:26:50.539509+00
